ALPHA = 1.5
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.3_12__8		9,57 | 30	9,57 | 30	2,90	0,32	0,56
-1.0_0.5_12__10		5,94 | 30	5,94 | 30	4,18	0,37	0,61
-1.0_0.5_12__2		45,49 | 30	45,49 | 30	3,62	1,30	1,14
-1.0_0.5_12__4		20,37 | 30	20,37 | 30	4,20	0,89	0,94
-1.0_0.5_12__6		12,19 | 30	12,19 | 30	4,32	0,83	0,91
-1.0_0.5_12__8		8,06 | 30	8,06 | 30	4,44	0,63	0,79
-1.0_0.7_12__10		4,95 | 30	4,95 | 30	5,33	0,36	0,60
-1.0_0.7_12__2		44,70 | 30	44,70 | 30	4,34	1,49	1,22
-1.0_0.7_12__4		19,33 | 30	19,33 | 30	5,28	1,46	1,21
-1.0_0.7_12__6		11,13 | 30	11,13 | 30	5,46	1,41	1,19
-1.0_0.7_12__8		6,94 | 30	6,94 | 30	5,67	0,69	0,83
-1.0_1.0_12__10		7,02 | 30	7,02 | 30	3,04	0,04	0,21
-1.0_1.0_12__2		46,82 | 30	46,82 | 30	2,56	0,10	0,31
-1.0_1.0_12__4		21,48 | 30	21,48 | 30	3,18	0,12	0,34
-1.0_1.0_12__6		13,46 | 30	13,46 | 30	3,08	0,13	0,36
-1.0_1.0_12__8		9,26 | 30	9,26 | 30	3,21	0,06	0,25



ALPHA = 3.0
JOBS COUNT = 50
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		6,72 | 30	6,72 | 30	3,39	0,00	0,05
-1.0_0.0_12__2		47,10 | 30	47,10 | 30	2,54	0,01	0,09
-1.0_0.0_12__4		21,99 | 30	21,99 | 30	2,84	0,01	0,08
-1.0_0.0_12__6		13,70 | 30	13,70 | 30	2,92	0,00	0,06
-1.0_0.0_12__8		9,55 | 30	9,55 | 30	2,98	0,00	0,05
-1.0_0.3_12__10		4,24 | 30	4,24 | 30	6,06	0,76	0,87
-1.0_0.3_12__2		43,44 | 30	43,44 | 30	5,41	2,74	1,65
-1.0_0.3_12__4		18,75 | 30	18,75 | 30	5,82	2,08	1,44
-1.0_0.3_12__6		10,27 | 30	10,27 | 30	6,29	1,51	1,23
-1.0_0.3_12__8		7,21 | 30	7,21 | 30	5,38	2,17	1,47
-1.0_0.5_12__10		1,19 | 30	1,19 | 30	9,49	2,23	1,49
-1.0_0.5_12__2		42,11 | 30	42,11 | 30	6,62	4,24	2,06
-1.0_0.5_12__4		16,84 | 30	16,84 | 30	7,75	3,03	1,74
-1.0_0.5_12__6		9,56 | 30	9,56 | 30	7,13	2,97	1,72
-1.0_0.5_12__8		5,92 | 30	5,92 | 30	6,81	1,15	1,07
-1.0_0.7_12__10		1,04 | 30	1,04 | 30	9,95	0,73	0,85
-1.0_0.7_12__2		39,14 | 30	39,14 | 30	9,23	6,85	2,62
-1.0_0.7_12__4		15,14 | 30	15,14 | 30	9,60	4,44	2,11
-1.0_0.7_12__6		8,32 | 30	8,32 | 30	8,62	4,16	2,04
-1.0_0.7_12__8		3,80 | 30	3,80 | 30	9,23	3,59	1,89
-1.0_1.0_12__10		3,96 | 30	3,96 | 30	6,33	0,11	0,32
-1.0_1.0_12__2		43,36 | 30	43,36 | 30	5,45	0,28	0,53
-1.0_1.0_12__4		19,20 | 30	19,20 | 30	5,42	0,23	0,48
-1.0_1.0_12__6		11,01 | 30	11,01 | 30	5,58	0,14	0,38
-1.0_1.0_12__8		6,97 | 30	6,97 | 30	5,62	0,13	0,36



ALPHA = 3.0
JOBS COUNT = 100
seria			withSort	withoutSort	Elb		Dlb		Slb
-1.0_0.0_12__10		8,46 | 30	8,46 | 30	1,56	0,00	0,03
-1.0_0.0_12__2		48,68 | 30	48,68 | 30	1,18	0,00	0,05
-1.0_0.0_12__4		23,36 | 30	23,36 | 30	1,52	0,00	0,06
-1.0_0.0_12__6		15,04 | 30	15,04 | 30	1,57	0,00	0,04
-1.0_0.0_12__8		10,86 | 30	10,86 | 30	1,62	0,00	0,03
-1.0_0.3_12__10		6,88 | 30	6,88 | 30	3,15	0,38	0,62
-1.0_0.3_12__2		47,27 | 30	47,27 | 30	2,25	0,53	0,73
-1.0_0.3_12__4		21,68 | 30	21,68 | 30	3,01	0,58	0,76
-1.0_0.3_12__6		13,25 | 30	13,25 | 30	3,25	0,41	0,64
-1.0_0.3_12__8		9,46 | 30	9,46 | 30	2,98	0,52	0,72
-1.0_0.5_12__10		6,19 | 30	6,19 | 30	3,89	0,48	0,70
-1.0_0.5_12__2		45,91 | 30	45,91 | 30	3,34	1,16	1,08
-1.0_0.5_12__4		20,41 | 30	20,41 | 30	4,18	1,08	1,04
-1.0_0.5_12__6		12,45 | 30	12,45 | 30	4,07	1,07	1,04
-1.0_0.5_12__8		8,63 | 30	8,63 | 30	3,84	0,92	0,96
-1.0_0.7_12__10		5,36 | 30	5,36 | 30	4,85	0,57	0,75
-1.0_0.7_12__2		44,76 | 30	44,76 | 30	4,33	1,67	1,29
-1.0_0.7_12__4		19,19 | 30	19,19 | 30	5,38	1,35	1,16
-1.0_0.7_12__6		11,68 | 30	11,68 | 30	4,91	1,04	1,02
-1.0_0.7_12__8		7,49 | 30	7,49 | 30	5,08	0,78	0,89
-1.0_1.0_12__10		7,19 | 30	7,19 | 30	2,84	0,04	0,20
-1.0_1.0_12__2		47,00 | 30	47,00 | 30	2,46	0,18	0,43
-1.0_1.0_12__4		21,89 | 30	21,89 | 30	2,82	0,11	0,33
-1.0_1.0_12__6		13,48 | 30	13,48 | 30	3,05	0,14	0,37
-1.0_1.0_12__8		9,47 | 30	9,47 | 30	2,99	0,05	0,22
